,kingdom,btk,phylum,btp,class,btc,order,bto,family,btf,genus,btg,abundance
Otu00631,Bacteria,100,Gemmatimonadota,100,PAUC43f_marine_benthic_group,100,PAUC43f_marine_benthic_group_or,100,PAUC43f_marine_benthic_group_fa,100,PAUC43f_marine_benthic_group_ge,100,547
Otu00632,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,DEV007,100,DEV007_ge,100,545
Otu00633,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,544
Otu00634,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Bythopirellula,100,542
Otu00635,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Yoonia-Loktanella,79,540
Otu00636,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Caldilineales,100,Caldilineaceae,100,uncultured,100,540
Otu00637,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,539
Otu00638,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,537
Otu00639,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,536
Otu00640,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,Hyphomicrobium,72,533
Otu00641,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Halieaceae,100,Halieaceae_unclassified,100,533
Otu00642,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Altererythrobacter,100,524
Otu00643,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiaceae,100,Falsochrobactrum,88,524
Otu00644,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Rubritaleaceae_unclassified,72,523
Otu00645,Bacteria,100,Proteobacteria,100,Proteobacteria_unclassified,100,Proteobacteria_unclassified,100,Proteobacteria_unclassified,100,Proteobacteria_unclassified,100,522
Otu00646,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Enterobacterales,100,Shewanellaceae,100,Shewanella,100,520
Otu00647,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,100,519
Otu00648,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,100,514
Otu00649,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Nitrosococcales,100,Methylophagaceae,100,uncultured,100,511
Otu00650,Bacteria,100,Patescibacteria,100,Saccharimonadia,100,Saccharimonadales,100,Saccharimonadales_fa,100,Saccharimonadales_ge,100,509
Otu00651,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiales_unclassified,100,Rhizobiales_unclassified,100,507
Otu00652,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,507
Otu00653,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichales_unclassified,100,Microtrichales_unclassified,100,506
Otu00654,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,505
Otu00655,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,505
Otu00656,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Mycoplasma,100,500
Otu00657,Bacteria,100,Firmicutes,100,Bacilli,100,Thermoactinomycetales,100,Thermoactinomycetaceae,100,Planifilum,100,499
Otu00658,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Anaerovoracaceae,100,Anaerovoracaceae_unclassified,100,497
Otu00659,Bacteria,100,Firmicutes,100,Bacilli,100,Bacillales,100,Bacillales_unclassified,100,Bacillales_unclassified,100,494
Otu00660,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,99,493
Otu00661,Bacteria,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,492
Otu00662,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,95,491
Otu00663,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rubripirellula,60,488
Otu00664,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,488
Otu00665,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Enterococcaceae,100,Tetragenococcus,100,487
Otu00666,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,487
Otu00667,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Chitinophagales,100,Saprospiraceae,100,uncultured,100,486
Otu00668,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,486
Otu00669,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,100,485
Otu00670,Bacteria,100,Firmicutes,100,Bacilli,100,Thermoactinomycetales,100,Thermoactinomycetaceae,100,Shimazuella,100,484
Otu00671,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Nitrosococcales,100,Nitrosococcaceae,100,SZB85,100,482
Otu00672,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,100,481
Otu00673,Bacteria,100,Bdellovibrionota,100,Oligoflexia,100,Oligoflexales,100,Oligoflexaceae,100,uncultured,100,481
Otu00674,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,DEV007,100,DEV007_ge,100,480
Otu00675,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,60,478
Otu00676,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,477
Otu00677,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,63,476
Otu00678,Bacteria,100,Gemmatimonadota,100,Longimicrobia,100,Longimicrobiales,100,Longimicrobiaceae,100,Longimicrobium,100,475
Otu00679,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridium_sensu_stricto_7,100,471
Otu00680,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,uncultured,96,471
Otu00681,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellula,100,469
Otu00682,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Ilumatobacteraceae,100,Ilumatobacter,100,469
Otu00683,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Propionibacteriales,100,Nocardioidaceae,100,Nocardioides,100,469
Otu00685,Bacteria,100,Firmicutes,100,Clostridia,100,Oscillospirales,100,Hungateiclostridiaceae,100,Hungateiclostridiaceae_unclassified,100,467
Otu00684,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Flavobacteriales,100,Cryomorphaceae,100,Vicingus,100,466
Otu00686,Bacteria,100,Actinobacteriota,100,WCHB1-81,100,WCHB1-81_or,100,WCHB1-81_fa,100,WCHB1-81_ge,100,466
Otu00687,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,uncultured,100,465
Otu00688,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Methyloligellaceae,100,uncultured,100,464
Otu00689,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Chitinophagales,100,Saprospiraceae,100,OLB8,100,463
Otu00690,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,uncultured,100,462
Otu00691,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,462
Otu00692,Bacteria,100,Dependentiae,100,Babeliae,100,Babeliales,100,Vermiphilaceae,100,Vermiphilaceae_ge,100,462
Otu00693,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,100,462
Otu00694,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Endozoicomonadaceae,100,Kistimonas,100,461
Otu00695,Bacteria,100,Acidobacteriota,100,Thermoanaerobaculia,100,Thermoanaerobaculales,100,Thermoanaerobaculaceae,100,Subgroup_23,100,461
Otu00696,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_fa,100,Peptostreptococcales-Tissierellales_fa_unclassified,100,461
Otu00697,Bacteria,100,Acidobacteriota,100,Vicinamibacteria,100,Subgroup_17,100,Subgroup_17_fa,100,Subgroup_17_ge,100,460
Otu00698,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Pseudomonadaceae,100,Pseudomonas,100,460
Otu00699,Bacteria,100,Planctomycetota,100,Phycisphaerae,100,MSBL9,100,SG8-4,100,SG8-4_ge,100,459
Otu00700,Bacteria,100,Dependentiae,100,Babeliae,100,Babeliales,100,Babeliales_unclassified,100,Babeliales_unclassified,100,459
Otu00701,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,458
Otu00702,Bacteria,100,Acidobacteriota,100,Subgroup_26,100,Subgroup_26_or,100,Subgroup_26_fa,100,Subgroup_26_ge,100,457
